1,Piazza Maggiore,"{[11.342439651489258, 44.49486760765646],[11.342439651489258, 44.49486760765646],[11.342139244079588, 44.49342882201176],[11.342139244079588, 44.49342882201176],[11.343705654144285, 44.49327575762009],[11.343705654144285, 44.49327575762009],[11.34387731552124, 44.49471454704115],[11.34387731552124, 44.49471454704115],[11.342439651489258, 44.49486760765646],[11.342439651489258, 44.49486760765646]}",0103000020E610000001000000050000000000004054AF2640FC5D5FD2573F4640FFFFFFDF2CAF2640DFB8F6AC283F4640FFFFFF2FFAAF2640A771F7A8233F4640000000B010B02640D73268CE523F46400000004054AF2640FC5D5FD2573F4640,0103000020E610000001000000050000000000004054AF2640FC5D5FD2573F4640FFFFFFDF2CAF2640DFB8F6AC283F4640FFFFFF2FFAAF2640A771F7A8233F4640000000B010B02640D73268CE523F46400000004054AF2640FC5D5FD2573F4640
2,BolognaCentro,"{[11.33690357208252, 44.496229829434164],[11.33690357208252, 44.496229829434164],[11.33690357208252, 44.49567882221063],[11.33690357208252, 44.49567882221063],[11.346559524536133, 44.49414821927133],[11.346559524536133, 44.49414821927133],[11.346774101257324, 44.4946074043714],[11.346774101257324, 44.4946074043714],[11.33690357208252, 44.496229829434164],[11.33690357208252, 44.496229829434164]}",0103000020E61000000100000005000000000000A07EAC2640155C8475843F4640000000A07EAC2640735B5567723F46400000004070B12640D192B43F403F4640000000608CB126403B11A14B4F3F4640000000A07EAC2640155C8475843F4640,0103000020E61000000100000005000000000000A07EAC2640155C8475843F4640000000A07EAC2640735B5567723F46400000004070B12640D192B43F403F4640000000608CB126403B11A14B4F3F4640000000A07EAC2640155C8475843F4640
3,AreaMambo,"{[11.333384513854979, 44.50213752412924],[11.333384513854979, 44.50213752412924],[11.33565902709961, 44.498556246977316],[11.33565902709961, 44.498556246977316],[11.338448524475098, 44.49907661714579],[11.338448524475098, 44.49907661714579],[11.340036392211914, 44.50204569925787],[11.340036392211914, 44.50204569925787],[11.33514404296875, 44.50333123429596],[11.33514404296875, 44.50333123429596],[11.333384513854979, 44.50213752412924],[11.333384513854979, 44.50213752412924]}",0103000020E61000000100000006000000FFFFFF5FB1AA2640601DDA0A4640464000000080DBAB2640F6FDEBB0D03F46400000002049AD2640746B1ABEE13F46400000004019AE26407BB49108434046400000000098AB2640A12D6B286D404640FFFFFF5FB1AA2640601DDA0A46404640,0103000020E61000000100000006000000FFFFFF5FB1AA2640601DDA0A4640464000000080DBAB2640F6FDEBB0D03F46400000002049AD2640746B1ABEE13F46400000004019AE26407BB49108434046400000000098AB2640A12D6B286D404640FFFFFF5FB1AA2640601DDA0A46404640
4,AreaSaragozza,"{[11.329607963562012, 44.49191346683554],[11.329607963562012, 44.49191346683554],[11.32990837097168, 44.49035215062323],[11.32990837097168, 44.49035215062323],[11.338105201721191, 44.487168160591274],[11.338105201721191, 44.487168160591274],[11.339049339294434, 44.49127057698653],[11.339049339294434, 44.49127057698653],[11.33437156677246, 44.4935971923786],[11.33437156677246, 44.4935971923786],[11.329607963562012, 44.49191346683554],[11.329607963562012, 44.49191346683554]}",0103000020E6100000010000000600000000000060C2A82640A4423E05F73E4640000000C0E9A826409B39F9DBC33E4640000000201CAD26402DB2BA865B3E4640000000E097AD264075D24AF4E13E4640FFFFFFBF32AB2640EE545B312E3F464000000060C2A82640A4423E05F73E4640,0103000020E6100000010000000600000000000060C2A82640A4423E05F73E4640000000C0E9A826409B39F9DBC33E4640000000201CAD26402DB2BA865B3E4640000000E097AD264075D24AF4E13E4640FFFFFFBF32AB2640EE545B312E3F464000000060C2A82640A4423E05F73E4640
5,AreaIrnerio,"{[11.347332000732422, 44.50069891786176],[11.347332000732422, 44.50069891786176],[11.355915069580078, 44.498250144708834],[11.355915069580078, 44.498250144708834],[11.3558292388916, 44.50045404517453],[11.3558292388916, 44.50045404517453],[11.348791122436523, 44.50323941130474],[11.348791122436523, 44.50323941130474],[11.347332000732422, 44.50069891786176],[11.347332000732422, 44.50069891786176]}",0103000020E6100000010000000500000000000080D5B12640EFADF2E616404640000000803AB62640386026A9C63F4640FFFFFF3F2FB626407796CEE00E404640000000C094B226405BCE26266A40464000000080D5B12640EFADF2E616404640,0103000020E6100000010000000500000000000080D5B12640EFADF2E616404640000000803AB62640386026A9C63F4640FFFFFF3F2FB626407796CEE00E404640000000C094B226405BCE26266A40464000000080D5B12640EFADF2E616404640
